item,url
"2x4x8 Stud","https://www.homedepot.com/p/2-in-x-4-in-x-8-ft-Prime-Whitewood-Stud-058449/312528776"
"0.5x4x8 OSB","https://www.homedepot.com/p/1-2-4-ft-x-8-ft-Oriented-Strand-Board-660663/100072564"
"2x8x10 PT","https://www.homedepot.com/p/2-in-x-8-in-x-10-ft-2-Prime-Ground-Contact-Pressure-Treated-Lumber-107523/206937440"
"2x8x12 PT","https://www.homedepot.com/p/2-in-x-8-in-x-12-ft-2-Prime-Ground-Contact-Pressure-Treated-Lumber-107523/206937453"
"2x8x16 PT","https://www.homedepot.com/p/2-in-x-8-in-x-16-ft-2-Prime-Ground-Contact-Pressure-Treated-Lumber-107523/206937454"
"2x12x10 PT","https://www.homedepot.com/p/2-in-x-12-in-x-10-ft-1-Ground-Contact-Pressure-Treated-Lumber-1001787264/207095443"
"2x12x12 PT","https://www.homedepot.com/p/2-in-x-12-in-x-12-ft-1-Ground-Contact-Pressure-Treated-Lumber-106024/206964312"
"2x12x16 PT","https://www.homedepot.com/p/2-in-x-12-in-x-16-ft-1-Ground-Contact-Pressure-Treated-Lumber-106024/206964321"
"0.5x4x8 Drywall","https://www.homedepot.com/p/USG-Sheetrock-Brand-1-2-in-x-4-ft-x-8-ft-UltraLight-Drywall-14113411708/202530243"
"6x6x8 PT","https://www.homedepot.com/p/6-in-x-6-in-x-8-ft-2-Pressure-Treated-Ground-Contact-Southern-Pine-Timber-260691/100071059"
"2 Step PT Stringers","https://www.homedepot.com/p/2-Step-Ground-Contact-Pressure-Treated-Pine-Stair-Stringer-298239/308736492"
"8 Step PT Stringers","https://www.homedepot.com/p/8-Step-Ground-Contact-Pressure-Treated-Pine-Stair-Stringer-368914/308736511"
"4x4x4 PT","https://www.homedepot.com/p/4-in-x-4-in-x-4-1-2-ft-Pressure-Treated-Wood-Double-V-Groove-Deck-Post-143849/203208275"
"2x8 Joist Hanger","https://www.homedepot.com/p/Simpson-Strong-Tie-LUS-ZMAX-Galvanized-Face-Mount-Joist-Hanger-for-2x8-Nominal-Lumber-LUS28Z/100374921"
"3 Inch Framing Nails","https://www.homedepot.com/p/Grip-Rite-3-in-x-0-131-in-Plastic-4M-Vinyl-Coated-Steel-Smooth-Shank-Framing-Nail-GR014/100394346"
"Architectural Shingles","https://www.homedepot.com/p/GAF-Timberline-Natural-Shadow-Charcoal-Algae-Resistant-Architectural-Shingles-33-33-sq-ft-per-Bundle-21-Pieces-0601180/100658149"
"3 Inch Deck Screws","https://www.homedepot.com/p/Deckmate-9-x-3-in-Star-Flat-Head-Wood-Deck-Screw-5-lbs-Box-365-Piece-115985/306587120"
"5 Inch Structural Screws","https://www.homedepot.com/p/Simpson-Strong-Tie-0-220-in-x-5-in-T40-6-Lobe-Washer-Head-Strong-Drive-SDWS-Timber-Screw-Exterior-Grade-50-Pack-SDWS22500DB-R50/321563395"
"Hurricane Tie","https://www.homedepot.com/p/Simpson-Strong-Tie-H2-5A-18-Gauge-ZMAX-Galvanized-Hurricane-Tie-H2-5AZ/100275721"
