item,url
"2x4x8 Stud","https://www.menards.com/main/building-materials/lumber-boards/dimensional-lumber/2-x-4-construction-framing-lumber/1021101/p-1444451086852-c-13125.htm"
"0.5x4x8 OSB","https://www.menards.com/main/building-materials/panel-products/osb-sheathing/1-2-x-4-x-8-osb/1242809/p-1444422395209-c-13330.htm?tid=6596896515626013977&ipos=3"
"2x8x10 PT","https://www.menards.com/main/building-materials/lumber-boards/dimensional-lumber/ac2-reg-2-x-8-ground-contact-green-pressure-treated-lumber/1111338/p-1444422383463.htm"
"2x12x10 PT","https://www.menards.com/main/building-materials/lumber-boards/dimensional-lumber/ac2-reg-2-x-12-ground-contact-green-pressure-treated-lumber/1111930/p-1444422297277.htm"
"0.5x4x8 Drywall","https://www.menards.com/main/building-materials/drywall/drywall-sheets/1-2-x-4-x-8-lightweight-drywall/1311223/p-1444421962026-c-5656.htm?tid=7165441596644127848&ipos=3"
"6x6x8 PT","https://www.menards.com/main/building-materials/lumber-boards/timbers-logs/ac2-reg-6-x-6-2-critical-structural-green-pressure-treated-timber/1112816/p-1444422021391-c-13131.htm"
"2 Step PT Stringers","https://www.menards.com/main/building-materials/decking-deck-products/stair-stringers-treads/ac2-reg-ground-contact-green-pressure-treated-stringer/1113910/p-1483514378199-c-13479.htm?tid=-3397901200173943767&ipos=3"
"8 Step PT Stringers","https://www.menards.com/main/building-materials/decking-deck-products/stair-stringers-treads/ac2-reg-ground-contact-green-pressure-treated-stringer/57589/p-1524119319149-c-13479.htm"
"4x4x4 PT","https://www.menards.com/main/building-materials/lumber-boards/timbers-logs/ac2-reg-4-x-4-2-ground-contact-green-pressure-treated-timber/1112191/p-1444422404529-c-13131.htm?tid=1176022324374898897&ipos=1"
"2x8 Joist Hanger","https://www.menards.com/main/hardware/fasteners-connectors/construction-hardware/structural-hangers/mitek-reg-2-x-6-8-standard-joist-hanger/suh26/p-1444445526281-c-8843.htm?tid=-2773216444853622490&ipos=2"
"3 Inch Framing Nails","https://www.menards.com/main/hardware/fasteners-connectors/collated-nails-screws-staples/collated-nails-cleats/masterforce-trade-paper-hot-dipped-galvanized-smooth-shank-clipped-head-framing-nails-1-500-count/kc28asbxmf/p-1488510142614-c-19718.htm"
"2x8x16 PT","https://www.menards.com/main/building-materials/lumber-boards/dimensional-lumber/ac2-reg-2-x-8-ground-contact-green-pressure-treated-lumber/1111367/p-1444422254386-c-13125.htm?tid=5547815870486820309&ipos=1"
"Architectural Shingles","https://www.menards.com/main/building-materials/roofing/roofing-shingles/owens-corning-reg-oakridge-reg-architectural-roofing-shingles-32-8-sq-ft/hl03/p-1444450496115-c-5814.htm?tid=2816801104440191929&ipos=1"
"3 Inch Deck Screws","https://www.menards.com/main/hardware/fasteners-connectors/screws/deck-screws/grip-fast-reg-star-drive-tan-triple-coated-exterior-deck-screws/2303515/p-1444450193466-c-8929.htm"
"5 Inch Structural Screws","https://www.menards.com/main/hardware/fasteners-connectors/bolts/lag-screws/fastenmaster-reg-flatlok-reg-40-x-5-torx-ttap-drive-red-flat-head-structural-screw-1-count/fmfl005-indy/p-1484810488399-c-8742.htm?tid=7264242520835692709&ipos=19"
